topic,question,option_a,option_b,option_c,option_d,correct_answer
Polity,"Consider the following statements:
1. The United Nations Convention against Corruption (UNCA","has a ‘Protocol
against the Smuggling of Migrants by Land, Sea and Air’.
2. The UNCAC is the ever-first legally binding global anti-corruption instrument.
3. A highlight of the United Nations Convention against Transnational Organized
Crime (UNTO","is the inclusion of a specific chapter aimed at returning assets to
their rightful owners from whom they had been taken illicitly.
4. The United Nations Office on Drugs and Crime (UNOD","is mandated by its
member States to assist in the implementation of both UNCAC and UNTOC.
Which of the statements given above are correct?",1 and 3 only,c
Polity,"Which Article of the Constitution of India safeguards one’s right to marry the person
of one’s choice?",Article 19,Article 21,Article 25,Article 29,b
Polity,"Consider the following statements:
As per the Industrial Employment (Standing Orders) Central (Amendment) Rules, 2018
1. if rules for fixed-term employment are implemented, it becomes easier for the
firms/companies to lay off workers
2. no notice of termination of employment shall be necessary in the case of temporary
workman
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"Which one of the following suggested that the Governor should be an eminent
person from outside the State and should be a detached figure without intense political
links or should not have taken part in politics in the recent past?",First Administrative Reforms Commission (1966),Rajamannar Committee (1969),Sarkaria Commission (1983),National Commission to Review the Working of the Constitution (2000),c
Polity,"In India, which of the following review the independent regulators in sectors like
telecommunications, insurance, electricity, etc.?
1. Ad Hoc Committees set up by the Parliament
2. Parliamentary Department Related Standing Committees
3. Finance Commission
4. Financial Sector Legislative Reforms Commission
5. NITI Aayog
Select the correct answer using the code given below:",1 and 2,"1, 3 and 4","3, 4 and 5",2 and 5,a
Polity,"Which of the following statements is/are correct regarding the Maternity Benefit
Amendment) Act, 2017?
1. Pregnant women are entitled for three months pre-delivery and three months
post-delivery paid leave.
2. Enterprises with creches must allow the mother minimum six creche visits daily.
3. Women with two children get reduced entitlements.
Select the correct answer using the code given below.",1 and 2 only,2 only,3 only,"1, 2 and 3",c
Polity,"With reference to the Constitution of India, consider the following statements:
1. No High Court shall have the jurisdiction to declare any central law to be
constitutionally invalid.
2. An amendment to the Constitution of India cannot be called into question by the
Supreme Court of India.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"In the context of polity, which one of the following would you accept as the most
appropriate definition of liberty?",Protection against the tyranny of political rulers,Absence of restraint,Opportunity to do whatever one likes,Opportunity to develop oneself fully,d
Polity,"Which of the following adopted a law on data protection and privacy for its citizens
known as General Data Protection Regulation’ in April 2016 and started implementation of
it from 25th May, 2018?",Australia,Canada,The European Union,The United States of America,c
Polity,"Recently, India signed a deal known as ‘Action Plan for Prioritization and
Implementation of Cooperation Areas in the Nuclear Field’ with which of the following
countries?",Japan,Russia,The United Kingdom,The United States of America,b
Polity,"Consider the following statements:
1. In the first Lok Sabha, the single largest party in the opposition was the Swatantra Party.
2. In the Lok Sabha, a ""Leader of the Opposition"" was recognised for the first time in 1969.
3. In the Lok Sabha, if a party does not have a minimum of 75 members, its leader cannot
be recognised as the Leader of the Opposition.
Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",b
Polity,"Consider the following statements:
1. The Parliament of India can place a particular law in the Ninth Schedule of the
Constitution of India.
2. The validity of a law placed in the Ninth Schedule cannot be examined by any court and
no judgement can be made on it.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"What is/are the consequence/consequences of a country becoming the member of the
'Nuclear Suppliers Group'?
1. It will have access to the latest and most efficient nuclear technologies.
2. It automatically becomes a member of """"The Treaty on the Non-Proliferation of Nuclear
Weapons (NPT)"""".
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"Consider the following statements:
1. Aadhaar card can be used as a proof of citizenship or domicile.
2. Once issued, Aadhaar number cannot be deactivated or omitted by the Issuing
Authority.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"""Rule of Law Index"" is released by which of the following?",Amnesty International,International Court of Justice,The Office of UN Commissioner for Human Rights,World Justice Report,d
Polity,"Very recently, in which of the following countries have lakhs of people either suffered
from severe famine/acute malnutrition or died due to starvation caused by war/ethnic
conflicts?",Angola and Zambia,Morocco and Tunisia,Venezuela and Colombia,Yemen and South Sudan,d
Polity,"With reference to the Parliament of India, which of the following Parliamentary
Committees scruitinizes and reports to the House whether the powers to make
regulations, rules, sub-rules, by-laws, etc. conferred by the Constitution or delegated by
the Parliament are being properly exercised by the Executive within the scope of such
delegation?",Committee on Government Assurances,Committee on Subordinate Legislation,Rules Committee,Business Advisory Committee,b
Polity,"Consider the following statements:
1. As per the Right to Education (RTE) Act, to be eligible for appointment as a teacher in a
State, a person would be required to possess the minimum qualification laid down by the
concerned State Council of Teacher Education.
2. As per the RTE Act, for teaching primary classes, a candidate is required to pass a
Teacher Eligibility Test conducted in accordance with the National Council of Teacher
Education guidelines.
3. In India, more than 90% of teacher education institutions are directly under the State
Governments.
Which of the statements given above is/are correct?",1 and 2,2 only,1 and 3,3 only,b
Polity,"Consider the following statements:
1. The Food Safety and Standards Act, 2006 replaced the Prevention of Food Adulteration
Act, 1954.
2. The Food Safety and Standards Authority of India (FSSAI) is under the charge of
Director General of Health Services in the Union Ministry of Health and Family Welfare.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"The term ""two-state solution"" is sometimes mentioned in the news in the context of
the affairs of",China,Israel,Iraq,Yemen,b
Polity,"With reference to the provisions made under the National Food Security Act, 2013,
consider the following statements:
1. The families coming under the category of 'below poverty line (BPL)' only are eligible to
receive subsidised food grains.
2. The eldest woman in a household, of age 18 years or above, shall be the head of the
household for the purpose of issuance of a ration card.
3. Pregnant women and lactating mothers are entitled to a 'take-home ration' of 1600
calories per day during pregnancy and for six months thereafter.
Which of the statements given above is/are correct?",1 and 2,2 only,1 and 3,3 only,b
Polity,"Regarding Money Bill, which of the following statements is not correct?","A bill shall be deemed to be a Money Bill if it contains only provisions relating to
imposition, abolition, remission, alteration or regulation of any tax.","A Money Bill has provisions for the custody of the consolidated fund of India or the
contingency fund of India.","A Money Bill is concerned with the appropriation of money out of the contingency fund
of India.","A Money Bill deals with the regulation of borrowing of money or giving any guarantee by
the government of India.",c
Polity,"With reference to the election of the President of India, consider the following
statements.
1. The value of the vote of each MLA varies from state to state.
2. The value of the vote of MPs of the Lok Sabha is more than the value of the vote of
MPs of the Rajya Sabha.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"In the Indian context, what is the implication of ratifying the 'Additional Protocol' with
the 'International Atomic Energy Agency (IAE",'?,The civilian nuclear reactors come under IAEA safeguards.,The military nuclear installations come under the inspection of IAEA.,"The country will have the privilege to buy uranium from the Nuclear Suppliers Group
NSG).",a
Polity,"Consider the following countries:
1. Australia
2. Canada
3. China
4. India
5. Japan
6. USA
Which of the above are among the 'free-trade partners' of ASEAN?","1, 2, 4 and 5","3, 4, 5 and 6","1, 3, 4 and 5","2, 3, 4 and 6",c
Polity,"Which of the following is/are the aim/aims of ""Digital India""Plan of the Government of
India?
1. Formation of India's own Internet companies like China did.
2. Establish a policy framework to encourage overseas multinational corporations that
collect Big Data to build their large data centers within our national geographical
boundaries.
3. Connect many of our villages to the Internet and bring Wi-Fi to many of our schools,
public places and major tourist centers.
Select the correct answer using the code given below:",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",b
Polity,"Consider the following statements:
1. The Speaker of the Legislative Assembly shall vacate his/her office if he/she ceases to
be a member of the assembly.
2. Whenever the Legislative Assembly is dissolved, the Speaker shall vacate his/her office
immediately.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"Which one of the following reflects the most appropriate relationship between law
and liberty?","If there are more laws, there is less liberty.","If there are no laws, there is no liberty.","If there is liberty, laws have to be made by the people.","If laws are changed too often, liberty is in danger.",b
Polity,"Consider the following statements:
1. No criminal proceedings shall be instituted against the Governor of a State in any court
during his term of office.
2. The emoluments and allowances of the Governor of a State shall not be diminished
during his term of office.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"Which of the following are regarded as the main features of the """"Rule of Law""""?
1. Limitation of Powers
2. Equality before law
3. People's responsibility to the Government
4. Liberty and civil rights
Select the correct answer using the code given below:",1 and 3 only,2 and 4 only,"1, 2 and 4 only","1, 2, 3 and 4",c
Polity,"If the President of India exercises his power as provided under Article 356 of the
Constitution in respect of a particular State, then",the Assembly of the State is automatically dissolved.,"the powers of the Legislature of that State shall be exercisable by or under the authority
of the Parliament.",Article 19 is suspended in that State.,the President can make laws relating to that State.,b
Polity,"With reference to Pradhan Mantri Kaushal Vikas Yojana, consider the following
statements:
1. It is the flagship scheme of the Ministry of Labor and Employment.
2. It, among other things, will also impart training in soft skills, entrepreneurship, financial
and digital literacy.
3. It aims to align the competencies of the unregulated workforce of the country to the
National Skill Qualification Framework.
Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",c
Polity,"Consider the following events:
1. The first democratically elected communist party government formed in a State in India.
2. India's then largest bank, 'Imperial Bank of India', was renamed 'State Bank of India'.
3. Air India was nationalised and became the national carrier.
4. Goa became a part of independent India.
Which of the following is the correct chronological sequence of the above events?",4 - 1 - 2 - 3,3 - 2 - 1 - 4,4 - 2 - 1 - 3,3 - 1 - 2 - 4,b
Polity,"Right to Privacy is protected as an intrinsic part of Right to Life and Personal Liberty.
Which of the following in the Constitution of India correctly and appropriately imply the
above statement?",Article 14 and the provisions under the 42nd Amendment to the Constitution,Article 17 and the Directive Principles of State Policy in Part IV,Article 21 and the freedoms guaranteed in Part III,Article 24 and the provisions under the 44th Amendment to the Constitution,c
Polity,"For election to the Lok Sabha, a nomination paper can be filed by",anyone residing in India.,a resident of the constituency from which the election is to be contested.,any citizen of India whose name appears in the electoral roll of a constituency.,any citizen of India.,c
Polity,"In the context of Indian history, the principle of ‘Dyarchy (diarchy)’ refers to",Division of the central legislature into two houses.,"Introductions of double government i.e., Central and Statement governments.",Having two sets of rulers; one in London and another in Delhi.,Division of the subjects delegated to the provinces into two categories.,d
Polity,"Consider the following in reference to Indian Ocean Naval Symposium (IONS):
1. Inaugural IONS was held in India in 2015 under the chairmanship of the Indian Navy.
2. IONS is a voluntary initiative that seeks to increase maritime cooperation among navies
of the littoral states of the Indian Ocean Region.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Consider the following statements:
1. In the election for Lok Sabha or State Assembly, the winning candidate must get at least
50 percent of the votes polled, to be declared elected.
2. According to the provisions laid down in the Constitution of India, in Lok Sabha, the
Speaker’s post goes to the majority party and the Deputy Speaker’s to the Opposition.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,Right to vote and to be elected in India is a,Fundamental Right,Natural Right,Constitutional Right,Legal Right,c
Polity,"What is the purpose of ‘Vidyanjali Yojana’?
1. To enable the famous foreign educational institutions to open their campuses in India.
2. To increase the quality of education provided in government schools by taking help from
the private sector and the community.
3. To encourage voluntary monetary contributions from private individuals and
organizations so as to improve the infrastructure facilities for primary and secondary
schools.
Select the correct answer using the code given below:",2 only,3 only,1 and 2 only,2 and 3 only,a
Polity,What is the aim of the programme ‘Unnat Bharat Abhiyan’?,"Achieving 100% literacy by promoting collaboration between voluntary organizations
and the government's education system and local communities.","Connecting institutions of higher education with local communities to address
development challenges through appropriate technologies.","Strengthening India’s scientific research institutions in order to make India a scientific
and technological power.","Developing human capital by allocating special funds for health care and education of
rural and urban poor, and organizing skill development programmes and vocational
training for them.",b
Polity,"Consider the following statements:
1. The Election Commission of India is a five member body.
2. Union Ministry of Home Affairs decides the election schedule for the conduct of both
general elections and bye-elections.
3. Election Commission resolves the disputes relating to splits/mergers of recognized
political parties.
Which of the statements given above is/are correct?",1 and 2 only,2 only,2 and 3 only,3 only,d
Polity,"In India, Judicial Review implies:","the power of the Judiciary to pronounce upon the constitutionality of laws and executive
orders.","the power of the Judiciary to question the wisdom of the laws enacted by the
Legislatures.","the power of the Judiciary to review all the legislative enactments before they are
assented to by the President.","the power of the Judiciary to review its own judgements given earlier in similar or
different cases.",a
Polity,"Which of the following are not necessarily the consequences of the proclamation of
the President’s rule in a State?
1. Dissolution of the State Legislative Assembly
2. Removal of the Council of Ministers in the State
3. Dissolution of the local bodies.
Select the correct answer using the code given below:",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3",b
Polity,"Which of the following are envisaged by the Right against Exploitation in the
Constitution of India?
1. Prohibition of traffic in human beings and forced labour.
2. Abolition of untouchability
3. Protection of the interests of minorities
4. Prohibition of employment of children in factories and mines.
Select the correct answer using the code given below:","1, 2 and 4 only","2, 3 and 4 only",1 and 4 only,"1, 2, 3 and 4",c
Polity,"Out of the following statements, choose the one that brings out the principle
underlying the Cabinet form of Government:","An arrangement for minimizing criticism against the Government whose responsibilities
are complex and hard to carry out to the satisfaction of all.","A mechanism for speeding up the activities of the Government whose responsibilities
are increasing day by day.","A mechanism of parliamentary democracy for ensuring collective responsibility of the
Government to the people.","A device for strengthening the hands of the head of the Government whose hold over
the people is in a state of decline.",c
Polity,Which one of the following is not a feature to Indian federalism?,There is an independent judiciary in India.,Powers have been clearly divided between the Centre and the States.,The federating units have been given unequal representation in the Rajya Sabha.,It is the result of an agreement among the federating units.,d
Polity,"Which of the following statements is/are true of the Fundamental Duties of an Indian
citizen?
1. A legislative process has been provided to enforce these duties.
2. They are correlative to legal duties.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"Which one of the following objectives is not embodied in the Preamble to the
Constitution of India?",Liberty of thought,Economic liberty,Liberty of expression,Liberty of belief,b
Polity,"With reference to the ‘Quality Council of India (QCI)’, consider the following
statements:
1. QCI was set up jointly by the Government of India and the Indian Industry.
2. The Chairman of QCI is appointed by the Prime Minister on the recommendations of the
industry to the Government.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,Democracy’s superior virtue lies in the fact that it calls into activity,the intelligence and character of ordinary men and women.,the methods for strengthening executive leadership.,a superior individual with dynamism and vision.,a band of dedicated party workers.,a
Polity,The main advantage of the parliamentary form of governments is that,the executive and legislature work independently.,it provides continuity of policy and is more efficient.,the executive remains responsible to the legislature.,the head of the government cannot be changed without election.,c
Polity,"In the context of India, which one of the following is the correct relationship between
Rights and Duties?",Rights are correlative with Duties.,Rights are personal and hence independent of society and Duties.,"Rights, not Duties, are important for the advancement of the personality of the citizen.","Duties, not Rights, are important for the stability of the State",a
Polity,"The mind of the makers of the Constitution of India is reflected in which of the
following?",The Preamble,The Fundamental Rights,The Directive Principles of State Policy,The Fundamental Duties,a
Polity,"The Parliament of India exercises control over the functions of the Council of
Ministers through
1. Adjournment motion
2. Questions hour
3. Supplementary questions
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Polity,"With reference to the Parliament of India, consider the following statements:
1. A private member’s bill is a bill presented by a Member of Parliament who is not elected
but only nominated by the President of India.
2. Recently, a private member’s bill has been passed in the Parliament of India for the first
time in its history.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"‘Recognition of Prior Learning Scheme’ is sometimes mentioned in the news with
reference to",Certifying the skills acquired by construction workers through traditional channels.,Enrolling the persons in Universities for distance learning programmes.,Reserving some skilled jobs to rural and urban poor in some public sector undertakings.,"Certifying the skills acquired by trainees under the National Skill Development
Programme.",a
Polity,One of the implications of equality in society is the absence of,Privileges,Restraints,Competition,Ideology,a
Polity,"Which principle among the following was added to the Directive Principles of State
Policy by the 42nd Amendment to the Constitution?",Equal pay for equal work for both men and women,Participation of workers in the management of industries,"Right to work, education and public assistance",Securing living wage and human conditions of work to workers,b
Polity,Which one of the following statements is correct?,Rights are claims of the State against the citizens.,Rights are privileges which are incorporated in the Constitution of a State.,Rights are claims of the citizens against the State.,Rights are privileges of a few citizens against the many.,a
Polity,"Which of the following gives ‘Global Gender Gap Index’ ranking to the countries of
the world?",World Economic Forum,UN Human Rights Council,UN Women,World Health Organization,a
Polity,Local self-government can be best explained as an exercise in,Federalism,Democratic decentralization,Administrative delegation,Direct democracy,b
Polity,"Consider the following statements:
With reference to the Constitution of India, the Directive Principles of State Policy
constitute limitations upon
1. legislative function
2. executive function
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,The term ‘Digital Single Market Strategy’ seen in the news refers to,ASEAN,BRICS,EU,G20,c
Polity,"Which of the following statements is/are correct?
1. A Bill pending in the Lok Sabha lapses on its prorogation.
2. A Bill pending in the Rajya Sabha, which has not been passed by the Lok Sabha, shall
not lapse on dissolution of the Lok Sabha.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Which of the following is/are the indicator/ indicators used by IFPRI to compute the
Global Hunger Index Report?
1. Undernourishment
2. Child stunting
3. Child mortality
Select the correct answer using the code given below:",1 only,2 and 3 only,"1, 2 and 3",1 and 3 only,c
Polity,"Which one of the following is the purpose of ‘UDAY’, a scheme of the Government?","Providing technical and financial assistance to startup entrepreneurs in the field of
renewable sources of energy",Providing electricity to every household in the countries by 2018,"Replacing the coal-based power plants with natural gas, nuclear, solar, wind and tidal
power plants over a period of time",Providing for financial turnaround and revival of power distribution companies,d
Polity,‘Rashtriya Garima Abhiyaan’ is a national campaign to,"rehabilitate the homeless and destitute persons and provide them with suitable sources
of livelihood","release the sex workers from their practice and provide them with alternative sources of
livelihood",eradicate the practice of manual scavenging and rehabilitate the manual scavengers,release the bonded labourers from their bondage and rehabilitate them,c
Polity,"Consider the following pairs:
SI. No. Community Region/Country
1. Kurd : Bangladesh
2. Madhesi : Nepal
3. Rohingya : Myanmar
Which of the above pairs given is/are correctly matched?",1 and 2 only,2 only,2 and 3 only,3 only,c
Polity,"With reference to ‘Organization for the Prohibition of Chemical Weapons (OPCW)’,
consider the following statements:
1. It is an organization of the European Union in working relation with NATO and WHO.
2. It monitors the chemical industry to prevent new weapons from emerging.
3. It provides assistance and protection to States (Parties) against chemical weapons
threats. Which of the statements given above is/are correct?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b
Polity,"With reference to ‘Pradhan Mantri Fasal Bima Yojana’, consider the following
statements:
1. Under this scheme, farmers will have to pay a uniform premium of two percent for any
crop they cultivate for any reason of the year.
2. This scheme covers post harvest losses arising out of cyclones and unseasonal rains.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Consider the following statements:
1. The Chief Secretary in a State is appointed by the Governor of that State.
2. The Chief Secretary in a State has a fixed tenure.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"With reference to ‘Stand Up India Scheme’, which of the following statements is/are
correct?
1. Its purpose is to promote entrepreneurship among SC/ST and women entrepreneurs.
2. It provides for refinancing through SIDBI.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"With reference to the ‘Gram Nyayalaya Act’, which of the following statements is/are
correct?
1. As per the Act, Gram Nyayalayas can hear only civil cases and not criminal cases.
2. The Act allows local social activists as mediators/reconciliators.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"‘Doctors Without Borders (Medecins Sans Frontieres)’, often in the news, is",a division of World Health Organization,a non-governmental international organization,an inter-governmental agency sponsored by European Union,a specialized agency of the United Nations,b
Polity,"What is/are the purpose/purposes of ‘District Mineral Foundations’ in India?
1. Promoting mineral exploration activities in mineral-rich districts
2. Protecting the interests of the persons affected by mining operations
3. Authorizing State Governments to issue licenses for mineral exploration
Select the correct answer using the code given below.",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",b
Polity,"‘SWAYAM’, an initiative of the Government of India, aims at",promoting the Self Help Groups in rural areas,providing financial and technical assistance to young start-up entrepreneurs,promoting the education and health of adolescent girls,providing affordable and quality education to the citizens for free,d
Polity,Which of the following is not a member of ‘Gulf Cooperation Council’?,Iran,Saudi Arabia,Oman,Kuwait,a
Polity,"‘Belt and Road Initiative’ is sometimes mentioned in the news in the context of the
affairs of",African Union,Brazil,European Union,China,d
Polity,"The Parliament of India acquires the power to legislate on any item in the State List
in the national interest if a resolution to that effect is passed by the:",Lok Sabha by a simple majority of its total membership,Lok Sabha by a majority of not less than two-thirds of its total membership,Rajya Sabha by a simple majority of its total membership,Rajya Sabha by a majority of not less than two-thirds of its members present and voting,d
Polity,"Consider the following statements:
1. The minimum age prescribed for any person to be a member of Panchayat is 25 years.
2. A Panchayat reconstituted after premature dissolution continues only for the remainder
period.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,"Consider the following statements regarding the Directive Principles of State Policy:
1. The Principles spell out the socio economic democracy in the country.
2. The provisions contained in these Principles are not enforceable by any court.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"Consider the following statements :
1. The Rajya Sabha has no power either to reject or to amend a Money Bill.
2. The Rajya Sabha cannot vote on the Demands for Grants.
3. The Rajya Sabha cannot discuss the Annual Financial Statement.
Which of the statements given above is/are correct ?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",b
Polity,The Government of India Act of 1919 clearly defined,The separation of power between the judiciary and the legislature,The jurisdiction of the central and provincial governments,The powers of the Secretary of State for India and Viceroy,None of the above,b
Polity,"When a bill is referred to a joint sitting of both the Houses of the Parliament, it has to
be passed by",a simple majority of members present and voting,three-fourths majority of members present and voting,two-thirds majority of the Houses,absolute majority of the Houses,a
Polity,The Government of India has established NITI Aayog to replace the,Human Rights Commission,Finance Commission,Law Commission,Planning Commission,d
Polity,"Consider the following statements:
1. The Executive Power of the Union of India is vested in the Prime Minister.
2. The Prime Minister is the ex officio Chairman of the Civil Services Board.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,Amnesty International is,an agency of the United Nations to help refugees of civil wars,a global Human Rights Movement,a non-governmental voluntary organization to help very poor people,an inter-governmental agency to cater to medical emergencies in war-ravaged regions.,b
Polity,"India is a member of which one of the following?
1. Asia-Pacific economic cooperation.
2. Association of South-East Asian Nations.
3. East Asia Summit
Select the correct answer using the code given below.",1 and 2 only,3 only,"1, 2, and 3",India is a member of none of them,b
Polity,"The provisions in Fifth Schedule and Sixth Schedule in the Constitution of India are
made in order to",protect the interests of Scheduled Tribes,determine the boundaries between States,"determine the powers, authority and responsibilities of Panchayats",protect the interests of all the border States,a
Polity,"With reference to the Union Government, consider the following statements:
1. The Department of Revenue is responsible for the preparation of the Union Budget that
is presented to the Parliament.
2. No amount can be withdrawn from the Consolidated Fund of India without authorization
from the Parliament of India.
3. All the disbursements made from Public Account also need the authorization from the
Parliament of India.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,2 only,"1, 2 and 3",c
Polity,Who/Which of the following is the custodian of the Constitution of India?,The President of India,The Prime Minister of India,The Lok Sabha Secretariat,The Supreme Court of India,d
Polity,"In the Mekong-Ganga Cooperation, an initiative of six countries, which of the
following is/are not a participant/ participants?
1. Bangladesh
2. Cambodia
3. China
4. Myanmar
5. Thailand
Select the correct answer using the code given below:",1 only,"2, 3 and 4",1 and 3,"1, 2 and 5",c
Polity,"Consider the following statements:
1. The Legislative Council of a State in India can be larger in size than half of the
Legislative Assembly of that particular State.
2. The Governor of a State nominates the Chairman of the Legislative Council of that
particular State.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"""To uphold and protect the Sovereignty, Unity and Integrity of India"" is a provision
made in the",Preamble of the Constitution,Directive Principles of State Policy,Fundamental Rights,Fundamental Duties,d
Polity,"The fundamental object of the Panchayati Raj system is to ensure which among the
following?
1. People's participation in development
2. Political accountability
3. Democratic decentralization
4. Financial mobilization
Select the correct answer using the code given below.","1, 2 and 3 only",2 and 4 only,1 and 3 only,"1, 2, 3 and 4",c
Polity,"Consider the following countries:
1. China
2. France
3. India
4. Israel
5. Pakistan
Which among the above are Nuclear Weapons States as recognized by the Treaty on the
Non-Proliferation of Nuclear Weapons, commonly known as Nuclear Non-Proliferation
Treaty (NPT)?",1 and 2 only,"1, 3, 4 and 5 only","2, 4 and 5 only","1, 2, 3, 4 and 5",a
Polity,The ideal of 'Welfare State' in the Indian Constitution is enshrined in its,Preamble,Directive Principles of State Policy,Fundamental Rights,Seventh Schedule,b
Polity,There is a Parliamentary System of Government in India because the,Lok Sabha is elected directly by the people,Parliament can amend the Constitution,Rajya Sabha cannot be dissolved,Council of Ministers is responsible to the Lok Sabha,d
Polity,"With reference to a grouping of countries known as BRICS, consider the following
statements:
1. The First Summit of BRICS was held in Rio de Janeiro in 2009.
2. South Africa was the last to join the BRICS grouping.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Polity,Which one of the following is the largest Committee of the Parliament?,The Committee on Public Accounts,The Committee on Estimates,The Committee on Public Undertakings,The Committee on Petitions,b
Polity,"Recently, a series of uprisings of people referred to as 'Arab Spring' originally started
from",Egypt,Lebanon,Syria,Tunisia,d
Polity,"Consider the following countries:
1. Denmark
2. Japan
3. Russian Federation
4. United Kingdom
5. United States of America
Which of the above are the members of the 'Arctic Council'?","1, 2 and 3","2, 3 and 4","1, 4 and 5","1, 3 and 5",d
Polity,"Which one of the following Schedules of the Constitution of India contains provisions
regarding anti-defection?",Second Schedule,Fifth Schedule,Eighth Schedule,Tenth Schedule,d
Polity,"In the Constitution of India, promotion of international peace and security is included in
the",Preamble to the constitution,Directive Principles of State Policy,Fundamental Duties,Ninth Schedule,b
Polity,"Which of the following are associated with ‘Planning’ in India?
1. The Finance Commission
2. The National Development Council
3. The Union Ministry of Rural Development
4. The Union Ministry of Urban Development
5. The Parliament
Select the correct answer using the code given below:","1, 2 and 5 only","1, 3 and 4 only",2 and 5 only,"1, 2, 3, 4 and 5",c
Polity,"Which of the following is/are the function/functions of the Cabinet Secretariat?
1. Preparation of agenda for Cabinet Meetings
2. Secretariat assistance to Cabinet Committees
3. Allocation of financial resources to the Ministries
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 2 only,"1, 2 and 3
Correct answer:
Q9. Consider the following statements:
A Constitutional Government is one which
1. Places effective restrictions on individual liberty in the interest of State Authority.
2. Places effective restrictions on the Authority of the State in the interest of individual
liberty.
Which of the statements given above is/are correct?",b
Polity,"Which of the following are the discretionary powers given to the Governor of a State?
1. Sending a report to the President of India for imposing the President’s rule
2. Appointing the Ministers
3. Reserving certain bills passed by the State Legislature for consideration of the
President of India
4. Making the rules to conduct the business of the State Government
Select the correct answer using the code given below:",1 and 2 only,1 and 3 only,"2, 3 and 4 only","1, 2, 3 and 4",b
Polity,"Consider the following statements:
1. The President shall make rules for the more convenient transaction of the business of
the Government of India, and for the allocation among Ministers of the said business.
2. All executive actions of the Government of India shall be expressed to be taken in the
name of the Prime Minister.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"Consider the following statements regarding a No-Confidence Motion in India:
1. There is no mention of a No-Confidence Motion in the Constitution of India.
2. A motion of No-Confidence can be introduced in the Lok Sabha only.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"The power of the Supreme Court of India to decide disputes between the Centre and
the States falls under its",advisory jurisdiction,appellate jurisdiction,original jurisdiction,writ jurisdiction,c
Polity,"The power to increase the number of judges in the Supreme Court of India is vested
in",the President of India,the Parliament,the Chief Justice of India,the Law Commission,b
